m-2,m-1,m1,m2,c-2,c-1,c1,c2,sens
expect,declines,rates,X,VBP,NNS,NNS,X,6
indicate,declining,rates,permit,VB,VBG,NNS,VBP,6
rises,shortXterm,rates,X,NNS,JJ,NNS,X,6
83X4,PERCENT,energyXservices,company,AB,NN,JJ,NN,5
holding,company,mechanical,engineering,VBG,NN,JJ,NN,5
X,plus,X,X,X,CC,X,X,6
curry,set,rate,refund,NP,VBD,NN,NN,6
country,Xs,X,prompted,NN,POS,X,VBD,4
reduction,principal,way,debt,NN,NN,NN,NN,6
right,increase,70,PERCENT,NN,VB,AB,NN,5
show,strong,japanese,investors,VBP,JJ,JJ,NNS,1
retired,early,rates,decline,VBN,RB,NNS,VBP,6
X,drop,rates,since,X,NN,NNS,IN,6
predicted,drop,rates,eventually,VBD,NN,NNS,RB,6
plus,accrued,date,purchase,CC,VBN,NN,NN,6
dramatic,fluctuation,rates,X,JJ,NN,NNS,X,6
growing,international,japanese,behavior,JJ,JJ,JJ,NN,1
lower,uXsX,rates,spurred,JJR,NP,NNS,VBN,6
showed,little,evidence,slowing,VBD,JJ,NN,VBG,1
cut,shortXterm,rates,X,VB,JJ,NNS,X,6
federal,funds,rate,0X25,JJ,NNS,NN,AB,6
resulting,higher,costs,taxpayer,VBG,JJR,NNS,NN,6
japanese,business,X,uXs,JJ,NN,X,NP,3
heightened,japanese,american,small,JJ,JJ,JJ,JJ,1
bought,controlling,glass,company,VBD,VBG,NN,NN,5
XX,great,making,investments,XX,JJ,VBG,NNS,1
35,PERCENT,trading,company,AB,NN,NN,NN,5
customers,primarily,rates,pay,NNS,RB,NNS,VBP,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
million,semiannual,payment,due,AB,JJ,NN,JJ,6
illegal,variety,rate,swap,JJ,NN,NN,NN,6
sterling,market,rate,swap,NN,NN,NN,NN,6
parties,engage,rate,swap,NNS,VBP,NN,NN,6
make,fixedXrate,payments,debt,VB,JJ,NNS,NN,6
X,X,rates,rose,X,X,NNS,VBD,6
noting,growing,use,900,VBG,VBG,NN,AB,1
see,dealing,rates,deficit,VB,VBG,NNS,NN,6
bonds,X,subject,federal,NNS,X,JJ,JJ,6
every,important,team,XX,DT,JJ,NN,X,4
protecting,national,encouraging,new,VBG,JJ,VBG,JJ,4
uncertainty,regarding,rates,dollar,NN,VBG,NNS,NN,6
X,investor,directed,toward,X,NN,VBN,IN,1
said,investor,focused,defensive,VBD,NN,VBN,JJ,1
price,changes,income,X,NN,NNS,NN,X,6
company,Xs,expense,exceeds,NN,POS,NN,VBZ,6
could,signal,helping,revive,MD,VB,VBG,VB,1
20,PERCENT,chain,january,AB,NN,NN,NP,5
pursue,unspecified,X,move,VB,JJ,X,NN,3
also,cited,costs,amortization,RB,VBD,NNS,NN,6
toward,decline,rates,X,IN,NN,NNS,X,6
mcalpine,family,X,X,NP,NN,X,X,5
dramatic,fluctuation,rates,X,JJ,NN,NNS,X,6
cut,shortXterm,rates,due,VB,JJ,NNS,JJ,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
Xs,best,XX,company,POS,JJS,XX,NN,4
19,announcement,minority,stake,AB,NN,NN,NN,1
buffeted,high,rates,slowing,VBN,JJ,NNS,VBG,6
going,pursue,X,XX,VBG,VB,X,XX,3
attract,investor,remained,sluggish,VB,NN,VBD,JJ,1
X,domestic,rates,likely,X,JJ,NNS,JJ,6
direction,shortXterm,rates,treasury,NN,JJ,NNS,NP,6
X,market,rates,move,X,NN,NNS,VBP,6
X,also,packaging,X,X,RB,NN,X,5
